station,z_km,T_C
Фрунзе,0.756,10.1
Новороссийка,1.532,4.8
Чон-Арык,1.110,8.8
Байтык,1.579,6.3
Тюя-Ашу сев.,3.090,-1.4
Талас,1.217,7.5
Токтогул,0.821,11.0
Чолпон-Ата,1.645,7.3
Пржевальск,1.716,5.9
Рыбачье,1.660,7.1
Койлю,2.800,-2.0
Тамга,1.960,8.1
Тянь-Шань,3.614,-7.8
Ак-Шийряк,2.844,-0.5
Каракольская,3.080,4.3
Кочкорка,1.810,4.3
Сусамыр,2.061,-2.1
Кара-Куджур,2.800,-0.5
Ат-Ойнок,3.050,6.0
Нарын,2.040,2.8
Казарман,1.266,6.2
Чаткал,1.937,2.4
Устье р. Тос,1.759,7.9
Ангрен,2.286,3.9
Ак-Терек-Гава,1.748,9.1
Чаар-Таш,2.748,1.7
Узген,1.012,11.2
Ош,1.016,11.7
Кызыл-Джар,2.230,2.8
Гульча,1.542,7.7
Хайдаркан,1.970,6.9
Сары-Таш,3.155,-2.9
Дараут-Коргон,2.220,2.7
