station,z_km,lat,lon,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,year
Фрунзе,0.756,42.85,74.53,-5.0,-2.9,4.0,11.7,17.0,21.5,24.4,22.8,17.5,10.5,2.5,-2.7,10.1
Новороссийка,1.532,42.73,76.07,-9.3,-6.9,0.1,7.1,11.4,14.6,16.8,15.9,11.7,5.5,-2.0,-7.1,4.8
Чон-Арык,1.110,42.7,74.03,-3.9,-2.4,2.6,9.8,14.7,19.1,21.8,20.3,15.3,9.0,1.8,-2.0,8.8
Байтык,1.579,42.68,74.5,-5.1,-4.1,0.5,6.8,11.3,15.4,18.1,17.2,12.3,6.7,0.5,-3.3,6.3
Тюя-Ашу сев.,3.090,42.7,73.82,-11.6,-10.8,-6.8,-1.5,2.3,6.1,8.6,8.1,4.5,-1.0,-6.2,-9.0,-1.4
Талас,1.217,42.52,72.22,-6.0,-4.0,1.8,9.2,14.0,18.1,20.3,18.6,13.7,7.8,0.9,-3.8,7.5
Токтогул,0.821,41.82,72.83,-5.1,-3.7,3.7,13.3,17.6,21.1,25.7,25.2,19.7,12.5,4.6,-2.8,11.0
Чолпон-Ата,1.645,42.6,76.93,-3.2,-2.1,1.8,7.3,11.5,15.0,17.3,17.0,13.3,8.2,2.3,-1.1,7.3
Пржевальск,1.716,42.5,78.43,-6.6,-5.2,0.4,7.4,11.8,14.8,16.9,16.3,12.3,6.7,-0.3,-4.3,5.9
Рыбачье,1.660,42.45,76.18,-4.5,-2.9,1.3,7.4,11.9,15.7,18.2,17.8,13.7,8.0,1.1,-2.8,7.1
Койлю,2.800,42.2,79.02,-19.6,-13.7,-5.0,1.7,5.6,8.3,10.3,9.6,5.7,-0.4,-9.9,-17.2,-2.0
Тамга,1.960,42.18,77.55,-2.7,-2.1,1.9,7.7,12.0,15.3,17.7,17.2,13.7,8.6,2.4,-0.9,8.1
Тянь-Шань,3.614,41.92,78.23,-21.8,-19.4,-13.5,-6.7,-1.2,1.9,4.3,3.8,-0.3,-6.2,-14.7,-19.6,-7.8
Ак-Шийряк,2.844,41.82,78.75,-15.3,-11.4,-4.6,2.1,6.1,9.1,11.5,10.7,6.4,0.2,-8.0,-13.4,-0.5
Каракольская,3.08,41.52,77.45,-19.6,-15.2,-7.4,-0.3,3.7,6.9,9.1,8.7,4.4,-2.0,-10.7,-17.1,4.3
Кочкорка,1.810,42.22,75.73,-10.2,-6.3,0.5,6.9,11.1,14.0,15.8,15.0,10.9,5.3,-2.7,-8.5,4.3
Сусамыр,2.061,42.15,74.02,-22.3,-19.7,-11.2,0.4,8.3,11.2,13.5,13.0,8.4,1.8,-10.1,-18.8,-2.1
Кара-Куджур,2.800,41.93,76.3,-12.3,-10.6,-5.3,0.9,4.9,7.6,10.0,9.8,6.0,0.5,-6.8,-10.7,-0.5
Ат-Ойнок,3.050,41.65,74.53,-11.3,-10.3,-5.2,1.7,5.1,8.8,11.4,11.7,7.6,1.5,-5.3,-8.2,6.0
Нарын,2.040,41.43,75.98,-17.1,-13.8,-4.1,6.7,11.6,14.5,17.2,17.0,12.4,5.4,-4.3,-13.2,2.8
Казарман,1.266,41.07,74.03,-16.9,-13.1,-0.9,11.2,15.7,19.2,21.6,21.6,16.6,9.1,0.1,-9.4,6.2
Чаткал,1.937,41.9,71.32,-13.9,-11.6,-5.8,2.6,10.2,13.7,17.0,16.6,11.4,4.6,-4.7,-11.0,2.4
Устье р. Тос,1.759,41.58,71.67,-4.5,-2.7,2.5,9.2,13.1,16.5,19.2,18.8,14.4,8.3,2.2,-2.1,7.9
Ангрен,2.286,41.53,70.75,-8.6,-7.3,-3.1,3.6,9.2,13.0,16.4,16.2,11.6,5.0,-2.5,-6.5,3.9
Ак-Терек-Гава,1.748,41.27,72.82,-2.5,-1.3,3.0,9.1,13.5,17.5,20.5,20.0,15.6,9.6,3.5,-0.2,9.1
Чаар-Таш,2.748,41.0,73.8,-9.1,-8.5,-4.6,1.3,5.2,10.1,12.5,12.4,8.2,2.5,-3.1,-6.2,1.7
Узген,1.012,40.77,73.3,-2.8,-0.5,5.8,13.0,17.3,21.4,23.9,22.7,18.2,11.8,4.7,0.0,11.2
Ош,1.016,40.63,72.8,-3.4,-0.9,5.9,13.7,18.8,23.5,25.4,23.0,18.3,11.8,4.4,-0.4,11.7
Кызыл-Джар,2.230,40.32,74.25,-14.1,-10.9,-2.6,5.9,9.9,12.9,15.7,15.6,11.3,4.7,-3.5,-10.8,2.8
Гульча,1.542,40.32,73.45,-6.5,-3.6,3.0,9.9,13.6,16.6,19.5,19.1,14.6,8.2,1.5,-4.0,7.7
Хайдаркан,1.970,39.95,71.35,-5.7,-4.2,0.4,7.4,12.1,16.2,19.2,18.3,13.6,7.3,0.8,-3.2,6.9
Сары-Таш,3.155,39.72,73.25,-17.1,-14.7,-9.5,-2.2,3.3,6.5,9.6,9.6,5.5,-1.1,-9.9,-14.3,-2.9
Дараут-Коргон,2.220,39.55,72.18,-13.6,-11.0,-4.3,4.3,9.3,12.9,16.2,16.0,11.7,4.9,-3.9,-10.2,2.7
